,Total Electricity [kW],Total Electricity [kW/sf],hour
0,3553.2674659686168,0.09386954795079991,0
1,3371.382397158373,0.0890645425996017,1
2,3317.0014560885124,0.08762791718250117,2
3,3336.0777418222387,0.08813187089146213,3
4,3458.9674313335177,0.09137834746906852,4
5,3811.4420237316954,0.10068995459390397,5
6,4295.217493321072,0.11347024346181825,6
7,4559.370830015571,0.12044859635607433,7
8,4784.709701967513,0.1264015560610387,8
9,5076.689058823689,0.13411501149369442,9
10,5544.363022825463,0.14646993383198176,10
11,6112.444677577444,0.16147740755621892,11
12,6680.080858365732,0.17647311283352768,12
13,7282.335828318796,0.19238337073616654,13
14,7982.551879686512,0.21088154596201153,14
15,8607.621936034788,0.22739452850243475,15
16,8941.820728706965,0.23622332900627993,16
17,8872.74337042785,0.23439845641861268,17
18,8431.33064629829,0.22273729854895657,18
19,8007.1012268615705,0.21153008597310852,19
20,7338.140847130484,0.1938576171697406,20
21,6068.37526159659,0.16031319005888767,21
22,4804.456032071821,0.12692321087546832,22
23,3958.5300119144367,0.10457569724962683,23
